ID,Nodos,Dist_AG,Dist_ACO,Tiempo_AG,Tiempo_ACO,Dist_PL,Tiempo_PL
0,40,112.07,106.78,3.18,1.21,106.78,1.64
1,40,139.81,133.41,3.18,1.16,130.85,0.47
2,40,90.04,86.83,3.07,1.15,85.59,0.3
3,40,97.7,95.04,3.19,1.16,95.04,0.17
4,40,126.22,123.63,3.11,1.16,119.96,0.35
5,40,107.97,103.84,3.18,1.18,100.16,0.42
6,40,103.75,102.41,3.13,1.18,101.85,0.43
7,40,107.53,107.08,3.25,1.23,104.32,0.29
8,40,101.92,99.63,3.2,1.18,98.99,0.16
9,40,124.74,122.94,3.18,1.2,120.19,0.55
