ID,Nodos,Dist_AG,Dist_ACO,Tiempo_AG,Tiempo_ACO
0,150,524.0,230.4,42.87,14.75
1,150,587.35,275.69,42.24,14.76
2,150,506.73,227.55,42.78,14.82
3,150,508.17,195.58,42.38,14.84
4,150,563.29,276.05,43.05,14.8
5,150,529.83,237.87,42.64,14.97
6,150,540.59,243.78,42.96,14.95
7,150,479.34,241.35,42.75,14.93
8,150,543.75,260.41,42.86,14.95
9,150,567.93,246.29,42.89,14.95
