ID,Nodos,Dist_AG,Dist_ACO,Tiempo_AG,Tiempo_ACO
0,200,827.45,320.06,77.27,25.96
1,200,837.66,302.83,76.34,26.23
2,200,771.2,267.22,77.08,26.23
3,200,819.85,283.71,76.51,26.06
4,200,784.86,307.4,76.95,26.16
5,200,784.33,289.66,76.72,26.24
6,200,790.94,283.21,77.08,26.18
7,200,749.72,283.58,76.87,26.29
8,200,814.75,298.57,77.54,26.22
9,200,861.16,304.83,77.18,26.26
