ID,Nodos,Dist_AG,Dist_ACO,Tiempo_AG,Tiempo_ACO,Dist_Frankenstein,Tiempo_Frankenstein,Dist_PL,Tiempo_PL
0,40,106.78,106.78,1.15,1.28,108.64,0.0,106.78,2.19
1,40,134.61,133.64,1.16,1.29,141.99,0.0,130.85,0.46
2,40,88.86,86.83,1.15,1.28,95.71,0.0,85.59,0.26
3,40,95.04,95.04,1.15,1.28,98.88,0.0,95.04,0.15
4,40,126.86,120.84,1.15,1.3,125.26,0.0,119.96,0.35
5,40,108.72,105.45,1.15,1.29,111.53,0.0,100.16,0.4
6,40,104.62,103.06,1.16,1.28,103.89,0.0,101.85,0.39
7,40,107.09,107.08,1.14,1.31,106.4,0.0,104.32,0.27
8,40,98.99,99.79,1.16,1.29,100.36,0.0,98.99,0.14
9,40,121.93,122.99,1.17,1.32,136.32,0.0,120.19,0.53
