ID,Nodos,Dist_AG,Dist_ACO,Tiempo_AG,Tiempo_ACO,Dist_Frankenstein,Tiempo_Frankenstein,Dist_PL,Tiempo_PL
0,100,183.06,175.71,6.18,7.1,186.39,0.0,170.16,11.13
1,100,217.6,207.9,6.21,7.22,204.83,0.0,193.41,8.42
2,100,159.25,157.98,6.36,7.21,153.84,0.0,146.85,4.11
3,100,172.82,167.49,6.24,7.08,162.84,0.0,152.37,5.5
4,100,179.72,186.6,6.36,7.27,182.35,0.0,167.53,13.39
5,100,206.25,205.11,6.46,6.85,204.06,0.0,183.93,9.04
6,100,195.78,201.53,6.31,7.04,194.74,0.0,182.03,7.27
7,100,200.32,199.67,6.33,7.19,199.24,0.0,183.52,7.51
8,100,246.81,234.42,6.43,7.14,225.37,0.0,215.35,8.9
9,100,175.48,176.1,6.3,7.06,179.13,0.0,161.83,9.65
