ID,Nodos,Dist_AG,Dist_ACO,Tiempo_AG,Tiempo_ACO,Dist_Frankenstein,Tiempo_Frankenstein,Dist_PL,Tiempo_PL
0,200,304.46,317.84,24.27,26.71,293.02,0.02,272.33,249.12
1,200,310.43,300.43,23.19,27.01,314.97,0.02,266.79,223.26
2,200,268.63,250.97,24.33,27.44,258.4,0.02,225.1,38.52
3,200,297.91,285.12,23.49,27.78,273.05,0.02,243.15,152.07
4,200,312.14,304.87,23.93,27.09,285.63,0.02,267.19,95.76
5,200,286.57,281.61,23.38,27.03,276.01,0.02,242.75,38.22
6,200,281.68,287.23,24.0,27.17,271.93,0.02,242.41,256.11
7,200,280.52,282.25,39.54,27.11,263.29,0.02,244.08,253.56
8,200,299.03,308.0,23.98,27.04,285.06,0.02,260.98,74.67
9,200,304.82,316.85,23.88,26.92,285.08,0.02,268.12,40.95
