sheet,run,gen,mejor,prom,peor
Grafo_20,1,2,130,130.0,130
Grafo_20,1,3,130,130.0,130
Grafo_20,1,4,130,130.0,130
Grafo_20,1,5,130,130.0,130
Grafo_20,1,6,130,130.0,130
Grafo_20,1,7,130,130.0,130
Grafo_20,1,8,130,130.0,130
Grafo_20,1,9,130,130.0,130
Grafo_20,1,10,130,130.0,130
Grafo_20,1,11,130,130.0,130
Grafo_20,1,12,130,130.0,130
Grafo_20,1,13,130,130.0,130
Grafo_20,1,14,130,130.0,130
Grafo_20,1,15,130,130.0,130
Grafo_20,1,16,130,130.0,130
Grafo_20,1,17,130,130.0,130
Grafo_20,1,18,130,130.0,130
Grafo_20,1,19,130,130.0,130
Grafo_20,1,20,114,125.65,130
Grafo_20,1,21,100,117.95,130
Grafo_20,1,22,61,99.35,130
Grafo_20,1,23,57,85.45,130
Grafo_20,1,24,57,73.775,116
Grafo_20,1,25,57,68.4125,116
Grafo_20,1,26,56,64.825,94
Grafo_20,1,27,56,66.025,105
Grafo_20,1,28,55,64.2625,94
Grafo_20,1,29,53,60.2625,105
Grafo_20,1,30,53,58.9,79
Grafo_20,1,31,51,55.8,71
Grafo_20,1,32,51,54.2375,58
Grafo_20,1,33,51,53.1625,56
Grafo_20,1,34,51,52.525,55
Grafo_20,1,35,51,51.75,53
Grafo_20,1,36,49,51.0,53
Grafo_20,1,37,49,50.825,53
Grafo_20,1,38,49,50.375,51
Grafo_20,1,39,49,49.525,51
Grafo_20,1,40,41,47.825,49
Grafo_20,1,41,37,45.025,49
Grafo_20,1,42,31,40.05,49
Grafo_20,1,43,29,35.4875,43
Grafo_20,1,44,28,33.075,40
Grafo_20,1,45,28,31.55,41
Grafo_20,1,46,28,30.4375,35
Grafo_20,1,47,26,29.725,35
Grafo_20,1,48,26,29.6,38
Grafo_20,1,49,26,28.3125,34
Grafo_20,1,50,25,28.1,33
Grafo_20,1,51,25,27.4625,33
Grafo_20,1,52,25,27.45,33
Grafo_20,1,53,25,27.1625,35
Grafo_20,1,54,25,26.5375,32
Grafo_20,1,55,25,26.0625,30
Grafo_20,1,56,25,25.2125,30
Grafo_20,1,57,25,25.0125,26
Grafo_20,1,58,25,25.0,25
Grafo_20,1,59,25,25.0125,26
Grafo_20,1,60,21,24.2,25
Grafo_20,1,61,18,22.5,25
Grafo_20,1,62,17,20.7625,27
Grafo_20,1,63,17,20.6375,30
Grafo_20,1,64,16,19.8,29
Grafo_20,1,65,16,19.9125,31
Grafo_20,1,66,16,18.8125,27
Grafo_20,1,67,15,17.925,29
Grafo_20,1,68,15,16.9375,25
Grafo_20,1,69,15,16.225,19
Grafo_20,1,70,15,15.7125,20
Grafo_20,1,71,14,15.45,19
Grafo_20,1,72,14,15.8625,29
Grafo_20,1,73,14,15.625,33
Grafo_20,1,74,14,15.0875,25
Grafo_20,1,75,14,15.8875,28
Grafo_20,1,76,14,15.15,26
Grafo_20,1,77,14,14.725,25
Grafo_20,1,78,14,14.2125,24
Grafo_20,1,79,14,14.0,14
Grafo_20,1,80,11,13.7875,22
Grafo_20,1,81,10,12.8875,20
Grafo_20,1,82,9,12.0375,18
Grafo_20,1,83,9,11.45,15
Grafo_20,1,84,9,10.775,14
Grafo_20,1,85,9,10.5625,17
Grafo_20,1,86,9,10.35,17
Grafo_20,1,87,9,9.8625,15
Grafo_20,1,88,9,9.425,14
Grafo_20,1,89,9,9.0125,10
Grafo_20,1,90,9,9.0,9
Grafo_20,1,91,9,9.0,9
Grafo_20,1,92,9,9.0,9
Grafo_20,1,93,9,9.0,9
Grafo_20,1,94,9,9.0,9
Grafo_20,1,95,9,9.0,9
Grafo_20,1,96,9,9.0,9
Grafo_20,1,97,9,9.0,9
Grafo_20,1,98,9,9.0,9
Grafo_20,1,99,9,9.0,9
Grafo_20,1,100,7,8.775,9
Grafo_20,1,101,6,8.3125,9
Grafo_20,1,102,6,8.0125,14
Grafo_20,1,103,5,7.425,18
Grafo_20,1,104,5,6.475,11
Grafo_20,1,105,5,6.025,14
Grafo_20,1,106,5,5.45,12
Grafo_20,1,107,5,5.0375,6
Grafo_20,1,108,5,5.025,6
Grafo_20,1,109,5,5.1,7
Grafo_20,1,110,5,5.1625,7
Grafo_20,1,111,5,5.0,5
Grafo_20,1,112,5,5.0,5
Grafo_20,1,113,5,5.0,5
Grafo_20,1,114,5,5.0,5
Grafo_20,1,115,5,5.0,5
Grafo_20,1,116,5,5.0,5
Grafo_20,1,117,5,5.0,5
Grafo_20,1,118,5,5.0,5
Grafo_20,1,119,5,5.0,5
Grafo_20,1,120,4,4.875,5
Grafo_20,1,121,4,4.7125,5
Grafo_20,1,122,3,4.9,11
Grafo_20,1,123,3,4.7375,9
Grafo_20,1,124,3,4.1,9
Grafo_20,1,125,2,3.775,9
Grafo_20,1,126,2,3.3,6
Grafo_20,1,127,2,3.1375,6
Grafo_20,1,128,2,2.7,4
Grafo_20,1,129,1,2.2875,5
Grafo_20,1,130,1,2.1125,6
Grafo_20,1,131,1,2.0875,6
Grafo_20,1,132,1,2.6,7
Grafo_20,1,133,1,2.375,6
Grafo_20,1,134,1,2.4375,7
Grafo_20,1,135,1,2.375,7
Grafo_20,1,136,1,2.1875,6
Grafo_20,1,137,1,1.825,6
Grafo_20,1,138,1,1.2125,6
Grafo_20,1,139,1,1.0,1
Grafo_20,1,140,0,0.9875,1
Grafo_20,2,0,130,130.0,130
Grafo_20,2,1,130,130.0,130
Grafo_20,2,2,130,130.0,130
Grafo_20,2,3,130,130.0,130
Grafo_20,2,4,130,130.0,130
Grafo_20,2,5,130,130.0,130
Grafo_20,2,6,130,130.0,130
Grafo_20,2,7,130,130.0,130
Grafo_20,2,8,130,130.0,130
Grafo_20,2,9,130,130.0,130
Grafo_20,2,10,130,130.0,130
Grafo_20,2,11,130,130.0,130
Grafo_20,2,12,130,130.0,130
Grafo_20,2,13,130,130.0,130
Grafo_20,2,14,130,130.0,130
Grafo_20,2,15,130,130.0,130
Grafo_20,2,16,130,130.0,130
Grafo_20,2,17,130,130.0,130
Grafo_20,2,18,130,130.0,130
Grafo_20,2,19,130,130.0,130
Grafo_20,2,20,114,126.5625,130
Grafo_20,2,21,102,119.2,130
Grafo_20,2,22,88,111.125,130
Grafo_20,2,23,79,101.85,130
Grafo_20,2,24,60,89.4125,116
Grafo_20,2,25,59,77.825,104
Grafo_20,2,26,57,69.0625,102
Grafo_20,2,27,57,66.775,88
