ID Exp,Nodos (Cant),Ref. Dirección (Nodo 0),Distancia AG,Distancia ACO,Tiempo AG (s),Tiempo ACO (s),Solucion AG,Solucion ACO,Mejor Método,Ruta Normalizada AG,Ruta Normalizada ACO
0,100,"GAZA 1333, BEATRIZ HERNANDEZ...",443.0632,185.7481,212.9133,30.0578,"[18, 80, 16, 27, 97, 96, 89, 21, 68, 64, 22, 46, 32, 31, 98, 37, 38, 40, 9, 13, 36, 57, 85, 19, 7, 69, 48, 78, 54, 8, 45, 84, 12, 5, 91, 6, 65, 2, 0, 83, 62, 93, 29, 49, 53, 75, 94, 59, 47, 95, 82, 70, 43, 35, 3, 26, 56, 24, 92, 28, 99, 76, 14, 86, 67, 50, 23, 73, 55, 15, 81, 20, 42, 52, 90, 44, 60, 61, 88, 63, 11, 72, 87, 66, 71, 10, 17, 51, 77, 79, 34, 25, 39, 58, 30, 4, 41, 1, 33, 74]","[42, 95, 47, 59, 93, 15, 21, 92, 55, 68, 41, 24, 23, 52, 87, 61, 72, 11, 63, 88, 30, 66, 90, 60, 10, 44, 56, 4, 26, 28, 71, 5, 99, 58, 14, 76, 39, 40, 91, 36, 9, 0, 12, 65, 45, 8, 79, 34, 96, 54, 19, 32, 48, 78, 31, 97, 51, 77, 46, 64, 50, 85, 57, 84, 2, 13, 6, 98, 37, 38, 86, 67, 22, 25, 3, 7, 89, 17, 69, 73, 62, 35, 16, 27, 83, 43, 74, 75, 70, 49, 33, 53, 20, 81, 18, 80, 1, 82, 94, 29, 42]",ACO,"[0, 83, 62, 93, 29, 49, 53, 75, 94, 59, 47, 95, 82, 70, 43, 35, 3, 26, 56, 24, 92, 28, 99, 76, 14, 86, 67, 50, 23, 73, 55, 15, 81, 20, 42, 52, 90, 44, 60, 61, 88, 63, 11, 72, 87, 66, 71, 10, 17, 51, 77, 79, 34, 25, 39, 58, 30, 4, 41, 1, 33, 74, 18, 80, 16, 27, 97, 96, 89, 21, 68, 64, 22, 46, 32, 31, 98, 37, 38, 40, 9, 13, 36, 57, 85, 19, 7, 69, 48, 78, 54, 8, 45, 84, 12, 5, 91, 6, 65, 2]","[0, 12, 65, 45, 8, 79, 34, 96, 54, 19, 32, 48, 78, 31, 97, 51, 77, 46, 64, 50, 85, 57, 84, 2, 13, 6, 98, 37, 38, 86, 67, 22, 25, 3, 7, 89, 17, 69, 73, 62, 35, 16, 27, 83, 43, 74, 75, 70, 49, 33, 53, 20, 81, 18, 80, 1, 82, 94, 29, 42, 42, 95, 47, 59, 93, 15, 21, 92, 55, 68, 41, 24, 23, 52, 87, 61, 72, 11, 63, 88, 30, 66, 90, 60, 10, 44, 56, 4, 26, 28, 71, 5, 99, 58, 14, 76, 39, 40, 91, 36, 9]"
1,100,"CANTERA 819, SAN MARCOS...",522.7828,215.5761,198.4487,24.2403,"[91, 26, 45, 93, 4, 13, 90, 24, 8, 6, 69, 66, 51, 41, 67, 81, 27, 99, 56, 10, 30, 39, 83, 55, 84, 62, 49, 53, 80, 42, 33, 15, 98, 71, 23, 63, 68, 16, 57, 46, 48, 87, 2, 22, 34, 1, 75, 64, 94, 9, 38, 59, 88, 86, 32, 0, 44, 43, 52, 74, 3, 50, 35, 76, 5, 78, 95, 37, 20, 60, 85, 36, 73, 65, 17, 97, 7, 19, 18, 92, 40, 21, 77, 12, 82, 79, 58, 31, 14, 29, 61, 70, 47, 11, 28, 89, 96, 25, 72, 54]","[26, 91, 77, 0, 44, 46, 8, 48, 52, 87, 2, 74, 11, 35, 33, 28, 10, 76, 80, 89, 50, 42, 3, 63, 18, 23, 92, 7, 72, 94, 19, 64, 25, 96, 62, 71, 39, 83, 15, 5, 30, 78, 98, 37, 20, 84, 95, 70, 55, 51, 61, 41, 66, 85, 6, 29, 60, 69, 67, 47, 12, 97, 32, 90, 59, 1, 99, 88, 86, 43, 57, 16, 38, 31, 58, 65, 36, 24, 79, 73, 93, 14, 45, 4, 13, 82, 22, 17, 34, 56, 81, 53, 9, 49, 54, 75, 27, 68, 40, 21, 26]",ACO,"[0, 44, 43, 52, 74, 3, 50, 35, 76, 5, 78, 95, 37, 20, 60, 85, 36, 73, 65, 17, 97, 7, 19, 18, 92, 40, 21, 77, 12, 82, 79, 58, 31, 14, 29, 61, 70, 47, 11, 28, 89, 96, 25, 72, 54, 91, 26, 45, 93, 4, 13, 90, 24, 8, 6, 69, 66, 51, 41, 67, 81, 27, 99, 56, 10, 30, 39, 83, 55, 84, 62, 49, 53, 80, 42, 33, 15, 98, 71, 23, 63, 68, 16, 57, 46, 48, 87, 2, 22, 34, 1, 75, 64, 94, 9, 38, 59, 88, 86, 32]","[0, 44, 46, 8, 48, 52, 87, 2, 74, 11, 35, 33, 28, 10, 76, 80, 89, 50, 42, 3, 63, 18, 23, 92, 7, 72, 94, 19, 64, 25, 96, 62, 71, 39, 83, 15, 5, 30, 78, 98, 37, 20, 84, 95, 70, 55, 51, 61, 41, 66, 85, 6, 29, 60, 69, 67, 47, 12, 97, 32, 90, 59, 1, 99, 88, 86, 43, 57, 16, 38, 31, 58, 65, 36, 24, 79, 73, 93, 14, 45, 4, 13, 82, 22, 17, 34, 56, 81, 53, 9, 49, 54, 75, 27, 68, 40, 21, 26, 26, 91, 77]"
2,100,"AV ESPANA 1092, MODERNA...",467.6113,159.8303,136.253,24.0771,"[73, 96, 74, 43, 85, 24, 16, 93, 94, 76, 82, 47, 87, 4, 25, 77, 66, 33, 98, 67, 83, 2, 65, 58, 17, 0, 8, 79, 61, 75, 32, 38, 35, 11, 54, 51, 60, 95, 44, 42, 88, 91, 15, 69, 37, 52, 45, 41, 26, 81, 9, 34, 80, 18, 92, 14, 30, 36, 19, 46, 68, 31, 39, 84, 99, 23, 20, 27, 70, 56, 71, 63, 21, 12, 90, 97, 49, 10, 78, 29, 28, 72, 50, 62, 59, 40, 86, 89, 5, 3, 13, 53, 55, 22, 6, 1, 7, 57, 48, 64]","[77, 4, 66, 81, 9, 80, 52, 87, 34, 45, 99, 3, 30, 91, 58, 22, 72, 55, 50, 28, 14, 15, 69, 37, 13, 1, 17, 6, 53, 51, 29, 78, 35, 11, 92, 54, 36, 19, 79, 61, 65, 18, 82, 47, 75, 32, 0, 38, 31, 39, 74, 43, 26, 71, 24, 93, 96, 49, 85, 48, 63, 73, 64, 94, 21, 12, 8, 46, 90, 97, 76, 10, 68, 20, 16, 41, 84, 2, 56, 70, 98, 57, 33, 27, 7, 83, 25, 23, 5, 62, 59, 86, 89, 88, 60, 44, 95, 67, 42, 40, 77]",ACO,"[0, 8, 79, 61, 75, 32, 38, 35, 11, 54, 51, 60, 95, 44, 42, 88, 91, 15, 69, 37, 52, 45, 41, 26, 81, 9, 34, 80, 18, 92, 14, 30, 36, 19, 46, 68, 31, 39, 84, 99, 23, 20, 27, 70, 56, 71, 63, 21, 12, 90, 97, 49, 10, 78, 29, 28, 72, 50, 62, 59, 40, 86, 89, 5, 3, 13, 53, 55, 22, 6, 1, 7, 57, 48, 64, 73, 96, 74, 43, 85, 24, 16, 93, 94, 76, 82, 47, 87, 4, 25, 77, 66, 33, 98, 67, 83, 2, 65, 58, 17]","[0, 38, 31, 39, 74, 43, 26, 71, 24, 93, 96, 49, 85, 48, 63, 73, 64, 94, 21, 12, 8, 46, 90, 97, 76, 10, 68, 20, 16, 41, 84, 2, 56, 70, 98, 57, 33, 27, 7, 83, 25, 23, 5, 62, 59, 86, 89, 88, 60, 44, 95, 67, 42, 40, 77, 77, 4, 66, 81, 9, 80, 52, 87, 34, 45, 99, 3, 30, 91, 58, 22, 72, 55, 50, 28, 14, 15, 69, 37, 13, 1, 17, 6, 53, 51, 29, 78, 35, 11, 92, 54, 36, 19, 79, 61, 65, 18, 82, 47, 75, 32]"
3,100,"WOLFANG AMADEUS 5552, RESIDENC LA ESTANC...",434.3725,171.1048,69.4907,34.6009,"[64, 44, 85, 51, 10, 15, 53, 31, 54, 40, 49, 27, 20, 45, 1, 18, 60, 79, 72, 66, 77, 95, 29, 69, 65, 19, 3, 87, 52, 98, 73, 11, 74, 7, 6, 14, 32, 63, 67, 30, 23, 84, 90, 46, 71, 36, 75, 5, 93, 80, 34, 91, 16, 37, 42, 24, 59, 61, 96, 17, 21, 48, 89, 76, 38, 78, 50, 94, 39, 82, 28, 99, 86, 56, 33, 9, 43, 92, 25, 41, 22, 26, 58, 83, 55, 47, 35, 97, 2, 8, 13, 4, 0, 88, 62, 12, 81, 70, 68, 57]","[86, 33, 95, 72, 18, 61, 66, 0, 89, 47, 75, 71, 46, 88, 36, 55, 35, 10, 15, 5, 58, 83, 97, 41, 26, 2, 76, 3, 22, 53, 40, 19, 4, 13, 54, 31, 32, 87, 27, 14, 49, 63, 67, 30, 6, 52, 37, 23, 98, 73, 11, 74, 20, 57, 16, 91, 64, 34, 9, 51, 24, 44, 28, 68, 99, 59, 82, 85, 12, 29, 1, 77, 62, 48, 69, 93, 43, 92, 39, 80, 94, 45, 84, 65, 50, 78, 38, 8, 7, 90, 25, 42, 81, 21, 60, 79, 56, 96, 70, 17, 86]",ACO,"[0, 88, 62, 12, 81, 70, 68, 57, 64, 44, 85, 51, 10, 15, 53, 31, 54, 40, 49, 27, 20, 45, 1, 18, 60, 79, 72, 66, 77, 95, 29, 69, 65, 19, 3, 87, 52, 98, 73, 11, 74, 7, 6, 14, 32, 63, 67, 30, 23, 84, 90, 46, 71, 36, 75, 5, 93, 80, 34, 91, 16, 37, 42, 24, 59, 61, 96, 17, 21, 48, 89, 76, 38, 78, 50, 94, 39, 82, 28, 99, 86, 56, 33, 9, 43, 92, 25, 41, 22, 26, 58, 83, 55, 47, 35, 97, 2, 8, 13, 4]","[0, 89, 47, 75, 71, 46, 88, 36, 55, 35, 10, 15, 5, 58, 83, 97, 41, 26, 2, 76, 3, 22, 53, 40, 19, 4, 13, 54, 31, 32, 87, 27, 14, 49, 63, 67, 30, 6, 52, 37, 23, 98, 73, 11, 74, 20, 57, 16, 91, 64, 34, 9, 51, 24, 44, 28, 68, 99, 59, 82, 85, 12, 29, 1, 77, 62, 48, 69, 93, 43, 92, 39, 80, 94, 45, 84, 65, 50, 78, 38, 8, 7, 90, 25, 42, 81, 21, 60, 79, 56, 96, 70, 17, 86, 86, 33, 95, 72, 18, 61, 66]"
4,100,"JILGEROS 33, LA VENTA DEL ASTILLE...",477.7381,185.688,82.5824,32.0646,"[48, 14, 13, 10, 93, 15, 92, 54, 71, 87, 79, 88, 24, 38, 58, 96, 45, 99, 62, 33, 42, 59, 75, 86, 80, 81, 83, 90, 35, 30, 11, 43, 68, 74, 7, 19, 47, 50, 94, 40, 8, 37, 64, 12, 25, 3, 89, 57, 91, 9, 65, 76, 23, 49, 66, 41, 61, 27, 39, 84, 72, 60, 29, 4, 67, 98, 31, 95, 46, 55, 73, 85, 97, 1, 22, 5, 21, 63, 51, 28, 16, 26, 53, 20, 52, 18, 17, 69, 32, 77, 0, 82, 2, 78, 36, 6, 44, 56, 70, 34]","[89, 32, 73, 1, 45, 67, 99, 88, 97, 62, 24, 30, 94, 65, 9, 38, 36, 58, 22, 2, 98, 23, 91, 69, 55, 82, 95, 85, 96, 79, 15, 53, 49, 93, 66, 10, 71, 54, 13, 92, 26, 41, 87, 16, 29, 60, 50, 14, 43, 48, 61, 11, 63, 27, 68, 47, 6, 19, 70, 7, 83, 81, 80, 74, 84, 39, 52, 75, 86, 44, 56, 72, 33, 20, 4, 28, 51, 59, 42, 90, 18, 21, 34, 35, 78, 40, 37, 76, 8, 64, 5, 12, 17, 25, 77, 57, 3, 31, 46, 0, 89]",ACO,"[0, 82, 2, 78, 36, 6, 44, 56, 70, 34, 48, 14, 13, 10, 93, 15, 92, 54, 71, 87, 79, 88, 24, 38, 58, 96, 45, 99, 62, 33, 42, 59, 75, 86, 80, 81, 83, 90, 35, 30, 11, 43, 68, 74, 7, 19, 47, 50, 94, 40, 8, 37, 64, 12, 25, 3, 89, 57, 91, 9, 65, 76, 23, 49, 66, 41, 61, 27, 39, 84, 72, 60, 29, 4, 67, 98, 31, 95, 46, 55, 73, 85, 97, 1, 22, 5, 21, 63, 51, 28, 16, 26, 53, 20, 52, 18, 17, 69, 32, 77]","[0, 89, 89, 32, 73, 1, 45, 67, 99, 88, 97, 62, 24, 30, 94, 65, 9, 38, 36, 58, 22, 2, 98, 23, 91, 69, 55, 82, 95, 85, 96, 79, 15, 53, 49, 93, 66, 10, 71, 54, 13, 92, 26, 41, 87, 16, 29, 60, 50, 14, 43, 48, 61, 11, 63, 27, 68, 47, 6, 19, 70, 7, 83, 81, 80, 74, 84, 39, 52, 75, 86, 44, 56, 72, 33, 20, 4, 28, 51, 59, 42, 90, 18, 21, 34, 35, 78, 40, 37, 76, 8, 64, 5, 12, 17, 25, 77, 57, 3, 31, 46]"
5,100,"MONTES MARCIANO 2173, SAN VICENTE...",479.4189,203.6101,64.2101,33.3957,"[33, 55, 5, 57, 83, 43, 66, 32, 63, 18, 73, 10, 15, 48, 9, 89, 35, 53, 1, 21, 22, 69, 44, 80, 82, 39, 3, 61, 94, 29, 96, 0, 87, 56, 16, 24, 92, 47, 68, 86, 42, 11, 41, 72, 99, 64, 34, 40, 51, 77, 65, 31, 58, 45, 14, 12, 6, 75, 54, 62, 90, 97, 30, 49, 25, 23, 37, 95, 91, 93, 59, 74, 78, 52, 85, 67, 27, 79, 26, 38, 8, 50, 2, 70, 13, 46, 76, 81, 60, 19, 84, 71, 7, 88, 36, 4, 98, 20, 28, 17]","[65, 50, 2, 35, 36, 98, 38, 89, 8, 4, 6, 43, 83, 54, 66, 32, 57, 75, 46, 76, 96, 30, 94, 52, 39, 42, 64, 87, 29, 11, 41, 9, 48, 0, 78, 62, 5, 74, 90, 63, 49, 10, 97, 73, 18, 25, 55, 72, 59, 17, 99, 33, 34, 95, 23, 91, 82, 37, 80, 21, 93, 85, 86, 3, 61, 15, 28, 70, 13, 81, 14, 60, 12, 19, 45, 58, 20, 40, 31, 71, 84, 51, 56, 68, 1, 67, 53, 92, 47, 7, 26, 24, 79, 44, 69, 16, 22, 88, 27, 77, 65]",ACO,"[0, 87, 56, 16, 24, 92, 47, 68, 86, 42, 11, 41, 72, 99, 64, 34, 40, 51, 77, 65, 31, 58, 45, 14, 12, 6, 75, 54, 62, 90, 97, 30, 49, 25, 23, 37, 95, 91, 93, 59, 74, 78, 52, 85, 67, 27, 79, 26, 38, 8, 50, 2, 70, 13, 46, 76, 81, 60, 19, 84, 71, 7, 88, 36, 4, 98, 20, 28, 17, 33, 55, 5, 57, 83, 43, 66, 32, 63, 18, 73, 10, 15, 48, 9, 89, 35, 53, 1, 21, 22, 69, 44, 80, 82, 39, 3, 61, 94, 29, 96]","[0, 78, 62, 5, 74, 90, 63, 49, 10, 97, 73, 18, 25, 55, 72, 59, 17, 99, 33, 34, 95, 23, 91, 82, 37, 80, 21, 93, 85, 86, 3, 61, 15, 28, 70, 13, 81, 14, 60, 12, 19, 45, 58, 20, 40, 31, 71, 84, 51, 56, 68, 1, 67, 53, 92, 47, 7, 26, 24, 79, 44, 69, 16, 22, 88, 27, 77, 65, 65, 50, 2, 35, 36, 98, 38, 89, 8, 4, 6, 43, 83, 54, 66, 32, 57, 75, 46, 76, 96, 30, 94, 52, 39, 42, 64, 87, 29, 11, 41, 9, 48]"
6,100,"ARQUIMIDES 630, HERMOSA PROVIN ZO TE...",511.0982,196.6451,59.4102,26.5534,"[57, 64, 49, 5, 59, 68, 66, 26, 98, 72, 12, 2, 0, 95, 17, 97, 69, 84, 91, 70, 53, 21, 42, 45, 27, 20, 58, 75, 37, 38, 55, 22, 52, 86, 29, 96, 15, 41, 28, 90, 9, 50, 92, 23, 76, 88, 81, 8, 62, 11, 89, 71, 47, 24, 85, 80, 40, 44, 87, 99, 48, 19, 39, 46, 6, 36, 74, 1, 51, 67, 18, 25, 10, 78, 4, 60, 16, 82, 3, 32, 79, 7, 56, 63, 83, 14, 31, 73, 94, 34, 30, 13, 61, 93, 65, 77, 33, 54, 35, 43]","[25, 73, 37, 75, 7, 63, 83, 70, 10, 66, 31, 84, 38, 14, 44, 69, 99, 60, 3, 9, 82, 77, 92, 16, 23, 26, 17, 87, 98, 32, 64, 27, 97, 79, 49, 5, 4, 20, 45, 40, 68, 78, 30, 1, 91, 55, 21, 42, 53, 36, 80, 71, 41, 15, 52, 62, 22, 24, 86, 85, 47, 29, 89, 11, 96, 8, 46, 13, 74, 39, 28, 61, 90, 81, 6, 88, 19, 76, 12, 50, 57, 2, 48, 65, 0, 93, 43, 35, 72, 95, 54, 33, 59, 58, 34, 94, 67, 18, 56, 51, 25]",ACO,"[0, 95, 17, 97, 69, 84, 91, 70, 53, 21, 42, 45, 27, 20, 58, 75, 37, 38, 55, 22, 52, 86, 29, 96, 15, 41, 28, 90, 9, 50, 92, 23, 76, 88, 81, 8, 62, 11, 89, 71, 47, 24, 85, 80, 40, 44, 87, 99, 48, 19, 39, 46, 6, 36, 74, 1, 51, 67, 18, 25, 10, 78, 4, 60, 16, 82, 3, 32, 79, 7, 56, 63, 83, 14, 31, 73, 94, 34, 30, 13, 61, 93, 65, 77, 33, 54, 35, 43, 57, 64, 49, 5, 59, 68, 66, 26, 98, 72, 12, 2]","[0, 93, 43, 35, 72, 95, 54, 33, 59, 58, 34, 94, 67, 18, 56, 51, 25, 25, 73, 37, 75, 7, 63, 83, 70, 10, 66, 31, 84, 38, 14, 44, 69, 99, 60, 3, 9, 82, 77, 92, 16, 23, 26, 17, 87, 98, 32, 64, 27, 97, 79, 49, 5, 4, 20, 45, 40, 68, 78, 30, 1, 91, 55, 21, 42, 53, 36, 80, 71, 41, 15, 52, 62, 22, 24, 86, 85, 47, 29, 89, 11, 96, 8, 46, 13, 74, 39, 28, 61, 90, 81, 6, 88, 19, 76, 12, 50, 57, 2, 48, 65]"
7,100,"CAMINO AL POTRE 1200, FRACC CUSPIDE...",474.9212,206.9353,55.8694,25.5732,"[43, 95, 54, 58, 90, 19, 65, 28, 41, 80, 59, 56, 60, 83, 38, 7, 5, 33, 11, 22, 2, 84, 73, 18, 26, 27, 93, 57, 87, 96, 69, 94, 53, 21, 16, 32, 92, 48, 3, 51, 25, 89, 64, 77, 12, 97, 13, 24, 20, 88, 91, 42, 37, 81, 46, 79, 63, 9, 75, 74, 1, 34, 66, 71, 67, 8, 23, 99, 76, 86, 39, 68, 70, 40, 82, 31, 35, 30, 78, 36, 62, 47, 72, 29, 52, 50, 14, 55, 45, 44, 0, 85, 6, 49, 17, 98, 61, 4, 10, 15]","[43, 14, 40, 73, 18, 31, 67, 8, 34, 55, 66, 71, 82, 47, 12, 2, 97, 13, 45, 62, 6, 89, 77, 0, 85, 24, 44, 64, 88, 20, 91, 42, 78, 7, 49, 9, 63, 33, 83, 38, 5, 74, 81, 96, 41, 46, 65, 79, 28, 59, 80, 56, 98, 69, 60, 30, 17, 37, 75, 11, 36, 22, 25, 50, 84, 19, 15, 94, 87, 72, 58, 54, 52, 32, 57, 1, 90, 26, 23, 35, 95, 93, 48, 92, 27, 16, 21, 39, 68, 3, 99, 76, 51, 61, 4, 10, 29, 70, 53, 86, 43]",ACO,"[0, 85, 6, 49, 17, 98, 61, 4, 10, 15, 43, 95, 54, 58, 90, 19, 65, 28, 41, 80, 59, 56, 60, 83, 38, 7, 5, 33, 11, 22, 2, 84, 73, 18, 26, 27, 93, 57, 87, 96, 69, 94, 53, 21, 16, 32, 92, 48, 3, 51, 25, 89, 64, 77, 12, 97, 13, 24, 20, 88, 91, 42, 37, 81, 46, 79, 63, 9, 75, 74, 1, 34, 66, 71, 67, 8, 23, 99, 76, 86, 39, 68, 70, 40, 82, 31, 35, 30, 78, 36, 62, 47, 72, 29, 52, 50, 14, 55, 45, 44]","[0, 85, 24, 44, 64, 88, 20, 91, 42, 78, 7, 49, 9, 63, 33, 83, 38, 5, 74, 81, 96, 41, 46, 65, 79, 28, 59, 80, 56, 98, 69, 60, 30, 17, 37, 75, 11, 36, 22, 25, 50, 84, 19, 15, 94, 87, 72, 58, 54, 52, 32, 57, 1, 90, 26, 23, 35, 95, 93, 48, 92, 27, 16, 21, 39, 68, 3, 99, 76, 51, 61, 4, 10, 29, 70, 53, 86, 43, 43, 14, 40, 73, 18, 31, 67, 8, 34, 55, 66, 71, 82, 47, 12, 2, 97, 13, 45, 62, 6, 89, 77]"
8,100,"PASEO DE LOS AL 79, LA MARTINICA...",569.4002,236.9246,58.2687,25.0184,"[48, 6, 10, 68, 40, 81, 9, 57, 74, 50, 22, 38, 36, 14, 30, 95, 29, 33, 18, 31, 46, 28, 88, 75, 99, 61, 3, 20, 69, 53, 73, 76, 42, 44, 5, 87, 70, 12, 62, 4, 98, 77, 19, 52, 86, 17, 59, 89, 25, 96, 51, 49, 66, 78, 0, 41, 64, 94, 2, 83, 90, 84, 97, 7, 92, 79, 11, 32, 34, 15, 72, 45, 16, 80, 26, 27, 13, 82, 23, 39, 47, 43, 71, 55, 58, 91, 65, 24, 1, 21, 60, 67, 35, 37, 8, 85, 93, 63, 56, 54]","[58, 24, 26, 1, 67, 21, 60, 20, 3, 22, 13, 69, 27, 38, 5, 54, 61, 99, 53, 87, 48, 57, 71, 9, 30, 94, 14, 12, 52, 64, 62, 29, 88, 43, 70, 75, 63, 8, 23, 7, 37, 35, 66, 49, 91, 97, 41, 0, 78, 32, 65, 11, 39, 44, 89, 84, 47, 42, 34, 76, 6, 68, 40, 16, 59, 86, 33, 36, 95, 81, 4, 2, 17, 45, 19, 77, 18, 72, 98, 15, 73, 83, 31, 46, 28, 90, 10, 51, 92, 96, 82, 79, 80, 93, 85, 25, 50, 55, 56, 74, 58]",ACO,"[0, 41, 64, 94, 2, 83, 90, 84, 97, 7, 92, 79, 11, 32, 34, 15, 72, 45, 16, 80, 26, 27, 13, 82, 23, 39, 47, 43, 71, 55, 58, 91, 65, 24, 1, 21, 60, 67, 35, 37, 8, 85, 93, 63, 56, 54, 48, 6, 10, 68, 40, 81, 9, 57, 74, 50, 22, 38, 36, 14, 30, 95, 29, 33, 18, 31, 46, 28, 88, 75, 99, 61, 3, 20, 69, 53, 73, 76, 42, 44, 5, 87, 70, 12, 62, 4, 98, 77, 19, 52, 86, 17, 59, 89, 25, 96, 51, 49, 66, 78]","[0, 78, 32, 65, 11, 39, 44, 89, 84, 47, 42, 34, 76, 6, 68, 40, 16, 59, 86, 33, 36, 95, 81, 4, 2, 17, 45, 19, 77, 18, 72, 98, 15, 73, 83, 31, 46, 28, 90, 10, 51, 92, 96, 82, 79, 80, 93, 85, 25, 50, 55, 56, 74, 58, 58, 24, 26, 1, 67, 21, 60, 20, 3, 22, 13, 69, 27, 38, 5, 54, 61, 99, 53, 87, 48, 57, 71, 9, 30, 94, 14, 12, 52, 64, 62, 29, 88, 43, 70, 75, 63, 8, 23, 7, 37, 35, 66, 49, 91, 97, 41]"
9,100,"HERNANDO ALVARA 3254, JARDINES DEL NILO...",465.7789,173.7449,52.6059,24.4654,"[7, 92, 41, 93, 98, 94, 85, 3, 15, 45, 96, 60, 63, 87, 69, 25, 18, 82, 52, 17, 22, 57, 91, 28, 39, 49, 86, 51, 76, 0, 24, 71, 35, 59, 12, 34, 27, 54, 16, 58, 99, 89, 4, 37, 6, 66, 30, 20, 90, 43, 40, 67, 14, 2, 81, 64, 10, 31, 95, 19, 5, 80, 46, 47, 33, 9, 29, 77, 53, 61, 79, 65, 26, 13, 84, 8, 50, 1, 48, 75, 72, 32, 83, 74, 36, 62, 97, 68, 21, 42, 23, 78, 44, 70, 56, 11, 55, 73, 38, 88]","[26, 84, 37, 44, 4, 13, 99, 89, 94, 58, 34, 70, 56, 16, 11, 57, 79, 1, 22, 55, 49, 24, 76, 17, 25, 50, 29, 52, 82, 8, 72, 32, 47, 40, 74, 46, 88, 66, 67, 64, 6, 83, 2, 96, 14, 98, 15, 45, 35, 65, 54, 12, 85, 3, 59, 75, 48, 0, 27, 91, 73, 71, 39, 28, 86, 51, 9, 18, 33, 77, 38, 69, 53, 41, 87, 93, 63, 60, 61, 92, 80, 5, 19, 30, 95, 68, 31, 7, 20, 10, 62, 90, 81, 43, 42, 23, 36, 97, 78, 21, 26]",ACO,"[0, 24, 71, 35, 59, 12, 34, 27, 54, 16, 58, 99, 89, 4, 37, 6, 66, 30, 20, 90, 43, 40, 67, 14, 2, 81, 64, 10, 31, 95, 19, 5, 80, 46, 47, 33, 9, 29, 77, 53, 61, 79, 65, 26, 13, 84, 8, 50, 1, 48, 75, 72, 32, 83, 74, 36, 62, 97, 68, 21, 42, 23, 78, 44, 70, 56, 11, 55, 73, 38, 88, 7, 92, 41, 93, 98, 94, 85, 3, 15, 45, 96, 60, 63, 87, 69, 25, 18, 82, 52, 17, 22, 57, 91, 28, 39, 49, 86, 51, 76]","[0, 27, 91, 73, 71, 39, 28, 86, 51, 9, 18, 33, 77, 38, 69, 53, 41, 87, 93, 63, 60, 61, 92, 80, 5, 19, 30, 95, 68, 31, 7, 20, 10, 62, 90, 81, 43, 42, 23, 36, 97, 78, 21, 26, 26, 84, 37, 44, 4, 13, 99, 89, 94, 58, 34, 70, 56, 16, 11, 57, 79, 1, 22, 55, 49, 24, 76, 17, 25, 50, 29, 52, 82, 8, 72, 32, 47, 40, 74, 46, 88, 66, 67, 64, 6, 83, 2, 96, 14, 98, 15, 45, 35, 65, 54, 12, 85, 3, 59, 75, 48]"
